id,mass,x,y,z,vx,vy,vz
113,99.591,-4.22982,-8.03774,-0.0559852,-0.0993263,0.0725079,-0.0759903
114,50.2472,-5.82336,1.88224,-1.57819,0.0919676,-0.0986704,0.00300194
115,54.5133,6.63007,-3.39128,-9.51431,-0.0542857,-0.00930162,-0.0972178
116,69.9388,3.23298,4.46831,-2.3727,0.0858299,-0.0108432,-0.010109
117,13.3067,-9.45362,1.63094,0.401881,-0.0481738,0.0401183,0.033919
118,64.1504,1.88537,1.5079,3.25488,0.00807457,0.0564674,0.00171341
119,99.1549,1.9067,-3.41939,-6.20286,-0.0201489,-0.0728872,0.0395976
120,35.9082,-8.78893,9.77108,1.3959,0.0404382,0.0470501,-0.00456932
121,37.4379,-5.15374,-5.64529,-0.0830905,-0.015422,-0.0899345,-0.0654209
122,35.8721,9.40223,-9.30744,-1.04282,-0.00277348,-0.0078571,-0.0117793
123,11.7369,-6.36082,-6.29294,6.12981,-0.0476551,-0.0034622,0.0185822
124,17.5901,-0.483897,-2.21953,4.75464,-0.0372733,-0.00478822,-0.0671512
125,50.6976,9.48181,0.52126,9.97269,0.00233663,-0.00815229,0.0480907
126,82.2608,3.71287,-2.56449,-1.85366,0.0255765,-0.0601279,-0.0600396
127,19.2725,0.803596,-5.60593,-7.45552,-0.081858,0.0101919,0.0675014
128,46.449,-2.84325,3.4926,0.397003,0.0722054,-0.0803082,-0.0796635
129,24.6831,-4.07567,1.58877,2.23392,0.0123305,-0.074279,0.031465
130,88.4258,3.10067,-5.30764,8.43903,0.0355202,0.0434457,-0.0574846
131,26.8923,-5.85276,3.54824,0.978958,-0.0422459,0.0753253,0.0152849
132,95.5156,-3.67644,1.64602,9.56001,-0.0204288,0.0348075,-0.00915471
133,82.7838,6.5451,3.53004,1.27914,-0.0813231,0.0823678,-0.0099521
134,76.0974,-7.76647,-0.91461,0.432642,-0.0131416,-0.0941592,-0.0856327
135,2.82508,2.01363,5.18514,-7.16633,-0.0994202,0.0932036,-0.0436352
136,46.3033,-4.87405,0.339775,-3.58702,-0.08921,-0.000237753,0.000290501
137,19.7771,6.19898,-8.55045,6.05299,0.0611849,-0.0527342,0.0445727
138,42.3633,9.8874,7.25776,-6.6109,0.046468,-0.0967902,0.0724756
139,4.20636,5.68922,-4.40043,0.939298,-0.099705,0.0711828,-0.0408016
140,18.9963,-1.63253,0.463075,2.65545,0.0620521,0.0653867,-0.0477631
141,55.715,-8.45875,9.31187,7.97361,-0.0533687,0.0724159,0.0297784
142,29.5851,3.84829,-4.47122,6.68064,0.0446123,-0.0211313,-0.0558969
143,50.0207,3.44722,-4.96246,6.07082,0.0574431,-0.0158135,-0.0135587
144,36.9027,8.88995,2.2915,9.51157,-0.0165858,0.050182,0.0118653
145,92.1582,-6.69373,-7.68155,0.872089,-0.0752246,-0.0939705,0.0631081
