id,mass,x,y,z,vx,vy,vz
172,9.27464,-0.331664,-0.151661,-8.19238,0.0799165,0.0892833,-0.0598076
173,66.1431,-4.67402,-3.07649,1.40108,0.00457232,0.0443557,-0.0271103
174,98.445,-4.69153,7.22194,6.40582,-0.0105877,0.0685745,-0.00562624
175,93.2223,8.88712,-2.6573,-9.44407,-0.00592955,-0.0511441,-0.0766908
176,90.5314,2.04596,0.0212418,6.68709,0.0111509,0.0298876,0.0620923
177,79.6539,-2.93661,-7.32659,-3.91477,-0.0378461,-0.0242572,-0.0593748
178,54.6994,8.005,7.23025,-7.6128,0.095365,0.0438042,-0.0557324
179,63.4263,-8.43513,-9.27623,6.42889,0.097149,-0.0654954,0.0291813
180,77.2274,4.68176,-4.34335,-6.25444,0.0839523,-0.0476988,-0.0173815
181,54.9939,7.656,-2.88278,1.47002,0.0746526,0.00158728,0.0569172
182,85.3011,-9.88346,-4.63013,2.92073,-0.0114108,0.0536226,-0.0456012
183,26.9267,8.10556,1.00193,2.87088,-0.0658901,0.0675036,-0.0779039
184,37.5188,-5.56865,9.27635,7.1818,-0.0549937,0.0947897,0.0775276
185,53.5447,8.81835,-5.10332,-9.16004,0.0956188,0.0252396,-0.0749691
186,94.2104,2.49676,1.81767,-1.11894,0.0822853,0.0198006,-0.0848983
187,90.0383,8.27163,7.55651,6.4393,-0.0352803,-0.00490086,0.0754645
188,55.1805,1.8397,-0.545398,-9.01827,-0.0371324,-0.0717591,-0.0874686
189,52.6827,3.58566,5.01216,-6.60924,-0.0442609,-0.0336117,0.0135357
190,28.0017,7.82881,-0.47058,0.839133,0.0571194,-0.0683643,0.00548819
191,71.7286,-1.73112,3.20987,0.840171,0.0893956,0.0131168,0.081974
192,62.8995,-4.87343,2.54311,7.53715,-0.00325812,0.0138333,0.0111126
193,13.5258,8.71424,9.68382,5.70565,-0.0371515,-0.0844692,0.0945208
194,12.8607,3.85597,9.9094,6.78317,0.079512,-0.0699004,0.0962366
195,74.6603,-0.131982,-5.75803,5.59826,-0.0478968,-0.00109706,-0.0611457
196,23.8426,-6.13266,4.10348,-6.55696,0.011145,-0.0991671,-0.0469953
197,60.0778,-8.58836,5.34208,-1.13305,-0.0174156,0.0076043,0.0713554
198,71.7919,-7.83104,-2.84686,-3.3406,0.0742529,-0.0383057,0.0165302
199,71.4105,-3.16577,9.73279,-7.76545,-0.0663861,-0.0787537,-0.0595872
200,47.612,8.31041,3.01831,-7.80174,0.0329454,-0.0916227,0.0972192
201,29.1276,9.56108,4.16191,1.47372,-0.0189243,0.0336591,0.0494238
202,21.4283,8.14704,-0.798736,5.12021,-0.0402502,0.0387629,-0.0188187
203,49.3885,-2.79289,7.17456,-7.89239,0.0623811,0.0747593,0.0767484
204,34.3793,2.09147,-4.63385,-3.11833,0.0733486,0.0509329,0.0687098
205,5.12085,7.58734,7.59232,-0.888929,0.0280314,-0.060651,0.0447726
206,78.8547,-6.37161,-3.4641,7.20732,0.0808124,-0.0268957,-0.0718321
207,17.9554,-9.90362,-9.40547,-9.09261,0.0568898,0.0710007,0.0995284
208,13.3515,9.22599,-0.785978,0.35149,0.0793223,0.0885141,0.097295
209,33.191,-1.08723,-9.36456,-5.54497,0.0960732,-0.016516,-0.0756383
210,74.7054,-0.0824901,8.69623,7.13739,-0.0555529,-0.0565197,-4.61834e-05
211,62.7189,-1.42055,6.13411,0.705659,0.0680012,-0.0582671,0.0564555
212,7.31952,-0.979566,0.169489,-3.71797,-0.000313993,-0.0999014,-0.0993905
213,97.8201,3.04125,-3.69444,-3.21938,0.00127228,0.000752528,0.00527231
214,61.0133,-3.37538,5.85363,0.527034,0.0630577,0.0815827,-0.0443339
215,44.6522,-9.60301,-9.94469,9.6763,0.0283075,-0.0771181,-0.0372055
216,30.9869,6.37477,3.64625,4.44438,-0.0922157,-0.0132945,-0.0700941
217,1.19487,7.53227,8.03123,-0.899798,-0.0786686,-0.0337427,0.00928344
218,61.2939,3.59764,-9.43821,-0.573664,0.0364474,-0.0753521,0.0300157
219,5.21371,-2.63363,7.56295,-8.12167,-0.04954,-0.0691091,-0.077416
220,7.29505,0.296604,9.32451,2.77671,-0.0138265,-0.0854393,-0.0233161
221,67.507,3.44806,9.41636,-1.37715,0.0644079,-0.000856393,-0.0772514
222,55.4163,1.92854,7.9697,6.45958,0.0180872,0.0271238,-0.00308421
223,29.7362,3.57988,-7.87778,-0.825215,-0.0451296,0.0342493,0.0719595
224,94.412,-8.14359,-4.50352,-3.37021,0.0454034,-0.0427453,-0.0595845
225,53.1661,-8.29871,5.22522,4.62097,-0.0608864,-0.0953226,0.0312798
226,70.6005,6.58762,-8.76213,6.1893,0.0562321,-0.0658548,0.0993459
227,18.0885,4.45539,-0.396285,4.01154,0.039557,0.00423823,-0.0379892
228,22.0283,2.58362,0.667253,2.31171,0.0883198,0.0662538,-0.0730588
229,17.5966,-8.71004,-5.74152,3.52469,0.0883799,-0.0748097,-0.0195315
230,24.0365,1.42138,4.55239,4.81531,-0.0355493,0.0492012,0.0124606
231,55.6722,-5.89622,-4.90842,-8.45338,-0.0983754,-0.0329089,-0.0561514
232,36.0822,-0.410722,-0.201741,-0.0669875,0.0415498,0.0828435,-0.0681474
233,70.9819,3.43654,-6.63095,8.75392,0.0350365,-0.0490696,0.0495051
234,79.2034,-0.00178648,-8.15567,0.26837,-0.00515248,0.0690598,-0.0507943
235,2.13129,-9.27357,1.16204,-7.26264,0.0664248,0.0162185,-0.0914654
236,37.1478,-9.97289,2.66902,-2.075,-0.064692,0.0868516,0.021715
237,4.59816,2.02805,0.897206,7.49671,0.0687301,-0.0207378,-0.0434133
238,94.7212,6.13272,-9.24628,7.99541,0.00514327,0.0278582,-0.0690759
239,81.779,3.17115,-5.8069,-7.03066,-0.0447446,-0.0879162,0.0345847
240,33.371,-6.75382,0.371352,-5.85379,0.096347,0.0433716,-0.0896761
241,88.4501,0.887145,-0.529778,2.03118,-0.0481695,-0.0563241,-0.0643647
242,80.5226,0.592567,-3.65677,0.183469,-0.00145379,-0.0548506,-0.0829361
243,94.2635,-1.44988,-1.16239,-9.18559,-0.0310476,0.0432691,0.062055
244,35.2424,-5.7713,-8.71974,1.26415,-0.00217475,0.000509993,-0.0272761
245,82.0764,-0.738259,-6.56707,5.12223,-0.0867489,-0.0596176,0.0767321
246,85.4956,8.93325,6.61143,-8.99904,-0.0962039,-0.0740283,0.0565238
247,57.3482,2.30995,-7.87085,-9.10104,-0.0501804,0.0114405,0.0574115
248,12.1036,1.60408,-1.47054,-7.50224,0.0732125,-0.0189965,-0.0635103
249,13.0965,8.36491,2.11296,6.13044,0.0160651,0.0590331,-0.0818184
250,12.1383,5.95531,5.12066,8.1328,0.0923435,0.0827852,-0.0781829
251,16.3388,-2.26434,-2.41994,0.345098,0.0339779,-0.0967937,-0.0800744
252,62.7609,-0.552872,8.90831,-1.43685,-0.0318128,-0.0076445,-0.0116059
253,17.4556,6.90287,-1.84316,-7.14741,-0.0811752,0.020015,-0.029553
254,93.7305,6.92327,8.25005,-8.51862,0.081118,0.0106437,-0.000322235
255,23.9496,8.59738,3.44278,-8.03621,0.0708875,-0.0932855,0.065278
256,93.9596,-7.54043,3.7861,-2.90688,0.0202456,-0.00978917,0.0562221
257,85.6167,9.06365,1.98299,7.4068,-0.0169833,-0.0798057,-0.0847544
258,56.0763,-8.50067,4.54107,8.75909,-0.0935189,-0.0853965,-0.0144411
259,91.1601,7.59815,-0.00738286,8.65173,0.0907983,-0.0384998,-0.097937
260,65.0635,-3.28255,6.18099,0.179085,0.0795755,-0.0959858,0.0273771
261,7.09167,1.57201,4.62041,3.20053,-0.05447,-0.0362071,0.0550735
262,3.79213,-7.66022,4.13157,1.2625,-0.0483422,-0.00978709,0.0840932
263,45.184,4.80553,-8.46298,0.0357328,-0.00347801,0.00629417,-0.0148099
264,38.9325,5.60926,-5.45908,-0.993004,0.0766121,0.0514616,-0.0472704
265,58.9923,3.41129,1.64547,-0.768586,-0.0647468,0.083423,0.0141341
266,55.4671,-6.20069,6.63087,7.51936,-0.0753702,0.083056,0.0886977
267,89.1236,-2.80212,-5.72861,-8.24356,-0.0916802,0.0979645,-0.0683263
268,41.9083,5.01774,-8.97961,0.150317,-0.0320662,-0.0589347,-0.0324706
269,77.0388,-3.97794,3.14893,6.79999,0.084488,-0.0772916,-0.0105687
270,50.2409,-0.813595,-5.22682,-2.78255,0.0509531,-0.00293252,-0.0239454
271,13.6167,8.58357,2.64883,-5.29445,-0.00976003,0.0067331,-0.0931698
272,25.7727,-6.01742,-2.57116,6.44438,-0.0139245,-0.0945405,0.029209
273,32.2464,0.88165,-3.13631,-7.52581,0.0347327,0.0180889,-0.0401646
274,13.9439,-3.74202,-5.43694,0.184184,0.0419661,0.0507177,-0.0999726
275,53.1081,9.69774,3.923,-0.325053,-0.0141112,0.0491338,0.0757023
276,84.2547,-3.41668,7.70593,-0.438994,0.0359093,0.0508312,0.00588564
277,29.2983,-8.01848,3.42383,-4.7472,-0.0304434,0.0661026,0.0192202
278,49.175,-6.23569,-9.6389,7.87818,0.0373926,-0.0902752,0.0884602
279,76.1937,6.98124,9.73101,-0.798921,-0.010116,0.0456979,-0.00437581
280,82.7419,-8.45579,-7.74868,-3.80217,0.0538416,-0.0806396,0.00428753
281,35.7743,-4.52073,4.59772,-8.04671,0.0442801,-0.00987682,0.0544241
282,46.8193,7.41561,5.89631,-7.11413,0.0701263,0.0536642,-0.00571752
283,28.6555,-8.83095,6.1341,-7.27784,-0.0604312,0.0461198,0.0935759
284,63.5017,3.84661,-9.27627,1.02058,-0.0658363,0.0516681,0.0728725
285,13.2451,-0.492899,8.77898,-2.91599,-0.0621653,0.0449867,0.045774
286,12.798,-9.99474,-9.89765,8.83483,-0.0154449,0.0145761,0.09534
287,40.5562,2.1525,0.153608,0.924185,-0.0396261,0.0250548,-0.00364821
288,81.5258,-9.78493,-8.92035,-2.66694,0.0107441,0.085345,0.0408553
289,41.6866,-5.29777,5.04491,-5.41341,-0.0969106,-0.0238976,-0.017919
290,45.9225,-0.924069,-4.02431,-9.63596,0.0076031,-0.0968966,-0.0639209
291,61.3955,4.13987,2.72265,8.67848,0.0533082,0.0145026,-0.020149
292,91.0783,-5.49713,-1.48444,6.13905,0.0724806,-0.0818081,0.0837377
293,31.9813,-7.35033,-4.80157,-2.99841,-0.0635972,0.0192245,-0.00385038
294,54.1078,1.64933,5.80117,-5.54235,-0.0397603,0.0235976,0.0841166
295,37.0815,-5.59482,-7.19036,-4.17424,-0.0615007,0.000375507,-0.0485391
296,1.14886,9.84234,6.97667,-9.38582,0.0746925,0.0246478,-0.0762431
297,64.6706,-5.94655,0.00891579,-4.89477,-0.0530463,0.0695957,-0.0729388
298,40.3528,1.94849,-5.65287,8.69898,-0.0995995,-0.0638643,0.0643528
299,77.7796,-4.71479,-2.74013,4.6788,-0.0165727,-0.0404728,0.0991508
300,13.5602,7.42763,-4.25655,-7.70363,-0.027171,0.0957762,-0.0180856
301,70.0497,-2.48469,-7.45762,-1.16075,-0.04451,-0.0678946,-0.0624304
302,16.004,-0.41202,-7.98497,-6.93982,-0.000138587,-0.0629058,-0.0159906
303,67.9967,-7.57713,-9.3156,0.761029,-0.0739034,0.0218078,-0.0639662
304,73.4449,-0.614196,7.1334,8.42416,0.0734152,-0.0554495,0.0354439
305,18.048,2.94267,-8.52423,9.55835,0.0177971,-0.0583517,0.0329515
306,15.1567,9.96434,-6.92784,-9.94827,-0.0285505,0.0676011,-0.060062
307,75.3514,-7.11764,9.00261,1.10757,0.0517972,-0.00708606,-0.0744324
308,75.1457,-8.83015,2.17955,-3.53095,-0.0933253,0.0596196,-0.0852121
309,58.169,5.72401,4.31317,2.91823,0.00233917,0.0609827,0.011088
310,91.4777,-6.88412,-0.814694,1.34373,-0.091664,-0.037384,0.0162174
311,14.9842,-4.87928,4.37582,4.45446,0.0282571,0.0536015,0.000788069
312,15.5568,-7.81505,4.70186,-8.14247,-0.0412821,0.0212207,-0.0931701
313,39.2486,-6.9049,-1.55372,4.02111,0.00198522,-0.0272432,0.0548147
314,43.3607,7.51412,3.0478,-1.34944,0.0547956,-0.0812133,-0.0783873
