Body 112: m=1.923000e+09  x=-0.095246 y=7.866350 z=-8.527988  vx=1.820385 vy=-1.791248 vz=-0.676812
Body 113: m=1.614000e+09  x=-2.470270 y=8.176495 z=-5.684436  vx=-0.204826 vy=0.443153 vz=-1.504998
Body 114: m=1.849000e+09  x=-29.389988 y=-172.338557 z=-195.563510  vx=-0.556321 vy=-3.352509 vz=-3.806922
Body 115: m=1.721000e+09  x=1.143991 y=6.282156 z=-9.765834  vx=-2.368189 vy=0.184008 vz=-0.014357
Body 116: m=1.729000e+09  x=-13.830220 y=14.413654 z=6.810529  vx=0.611136 vy=0.073812 vz=-0.615880
Body 117: m=1.916000e+09  x=118.381635 y=-12.726618 z=-62.792593  vx=2.627904 vy=-0.307647 vz=-1.405227
Body 118: m=1.221000e+09  x=0.584478 y=11.955606 z=-15.079394  vx=-0.520068 vy=1.097146 vz=-0.439873
Body 119: m=1.081000e+09  x=-187.060301 y=-34.634466 z=-129.722537  vx=-4.155490 vy=-0.806111 vz=-2.851301
Body 120: m=1.864000e+09  x=0.628477 y=9.718305 z=-12.874457  vx=-0.842133 vy=1.466056 vz=-1.006133
Body 121: m=1.388000e+09  x=2.090710 y=4.192888 z=-6.443168  vx=0.553162 vy=0.868488 vz=0.802168
Body 122: m=1.135000e+09  x=-94.498438 y=-463.869905 z=-264.481301  vx=-1.865940 vy=-9.252174 vz=-5.282127
Body 123: m=1.355000e+09  x=-0.791073 y=6.605389 z=-9.879692  vx=-1.982908 vy=-0.950651 vz=0.203839
Body 124: m=1.088000e+09  x=3.020757 y=3.552481 z=-12.989525  vx=-0.612959 vy=1.065689 vz=0.367338
Body 125: m=1.506000e+09  x=-254.808546 y=475.787772 z=101.738842  vx=-5.080080 vy=9.486857 vz=2.024306
Body 126: m=1.050000e+09  x=0.130212 y=6.933041 z=-8.007897  vx=0.821323 vy=-1.907025 vz=0.938309
Body 127: m=1.504000e+09  x=-849.827561 y=320.188765 z=578.660876  vx=-17.057473 vy=6.423365 vz=11.610508
Body 128: m=1.999000e+09  x=390.511674 y=-641.659345 z=280.125446  vx=7.814114 vy=-12.847659 vz=5.608003
Body 129: m=1.595000e+09  x=736.051188 y=-327.230117 z=-484.596311  vx=14.705933 vy=-6.543125 vz=-9.687694
Body 130: m=1.728000e+09  x=-1.088741 y=4.927759 z=-6.361913  vx=1.516859 vy=0.742975 vz=-0.732773
Body 131: m=1.285000e+09  x=-0.570313 y=8.555553 z=-10.558309  vx=-1.415463 vy=-0.221229 vz=-0.243826
Body 132: m=1.356000e+09  x=0.510450 y=5.946236 z=-5.969500  vx=-0.066321 vy=1.683255 vz=-1.413900
Body 133: m=1.380000e+09  x=-0.544813 y=6.003760 z=-8.774654  vx=1.750322 vy=3.158034 vz=-1.296865
Body 134: m=1.897000e+09  x=0.764917 y=5.431242 z=-10.269049  vx=1.523371 vy=0.491217 vz=-1.892216
Body 135: m=1.172000e+09  x=5.605151 y=5.767328 z=-2.076270  vx=0.673840 vy=0.552538 vz=1.419543
Body 136: m=1.370000e+09  x=6.277765 y=5.651427 z=-9.856566  vx=-0.863485 vy=1.372043 vz=0.306173
Body 137: m=1.611000e+09  x=207.238024 y=-149.439675 z=139.023086  vx=4.061900 vy=-2.933156 vz=2.716606
Body 138: m=1.986000e+09  x=447.785155 y=367.699656 z=-686.368517  vx=8.966506 vy=7.364227 vz=-13.746674
Body 139: m=1.154000e+09  x=-4.102317 y=2.780070 z=-9.630315  vx=0.172006 vy=0.718796 vz=2.229407
Body 140: m=1.235000e+09  x=0.854780 y=5.865321 z=-5.371153  vx=1.658060 vy=-0.213083 vz=-0.312954
Body 141: m=1.266000e+09  x=-483.190433 y=98.785198 z=221.875151  vx=-9.795741 vy=1.997461 vz=4.499879
Body 142: m=1.014000e+09  x=144.968980 y=-268.528407 z=76.733574  vx=2.845033 vy=-5.277559 vz=1.507522
Body 143: m=1.474000e+09  x=-1.862646 y=4.193636 z=-9.654273  vx=-1.470028 vy=0.429716 vz=-0.531638
Body 144: m=1.825000e+09  x=-437.708560 y=-38.529815 z=445.353947  vx=-8.716648 vy=-0.759425 vz=8.888357
Body 145: m=1.624000e+09  x=-0.790043 y=8.181185 z=-13.198005  vx=0.695313 vy=0.456624 vz=1.246489
Body 146: m=1.661000e+09  x=133.455835 y=-107.850814 z=-419.700934  vx=2.661109 vy=-2.171369 vz=-8.378610
Body 147: m=1.258000e+09  x=-1.407436 y=7.535554 z=-10.029485  vx=0.790704 vy=-0.654663 vz=1.539685
Body 148: m=1.366000e+09  x=-156.789957 y=57.856811 z=328.359907  vx=-3.078528 vy=1.125992 vz=6.505568
Body 149: m=1.425000e+09  x=780.188001 y=6225.857502 z=2748.291263  vx=15.665766 vy=125.030815 vz=55.193644
Body 150: m=1.228000e+09  x=4.435098 y=8.597562 z=-5.799997  vx=0.725112 vy=-0.343579 vz=0.114941
