id,mass,x,y,z,vx,vy,vz
137,27.3506,-0.054008,-3.76269,9.64123,-0.0680718,-0.0389109,0.019942
138,96.5721,-8.09648,4.86412,-9.96363,-0.0362794,-0.0304359,-0.0323601
139,41.5232,-4.28948,-6.67318,7.50675,0.0448442,0.079965,-0.0865557
140,97.3201,7.96646,3.55378,-3.47555,-0.0380666,0.0908221,-0.0611329
141,3.63725,-2.17051,6.63489,6.1869,-0.0305717,0.0654152,0.0783287
142,7.45861,-1.82708,7.2739,8.1179,0.0691793,0.0517251,0.0559164
143,87.3065,0.740955,4.76771,-7.93172,-0.00343513,-0.00295827,-0.073571
144,70.4481,-0.99653,-2.90506,9.27588,-0.0630516,0.0110632,0.0203109
145,97.9277,0.164081,4.89544,-5.14734,-0.0152823,-0.0782522,0.00315566
146,88.9111,5.19559,6.67959,3.73538,-0.0213778,-0.0603045,0.0499298
147,24.8562,-9.77847,-4.61501,8.4037,0.0701381,-0.00386674,0.0631693
148,6.6142,9.84218,-1.89791,8.76757,-0.0956444,-0.0813272,0.0905996
149,60.0296,-4.99175,-9.97613,-7.586,0.00074254,0.0882008,-0.0434717
150,46.471,4.26384,-0.850094,7.7644,-0.00638767,-0.0109838,-0.0414739
151,46.8856,-7.06892,6.49945,-7.53165,0.0353309,0.0875661,-0.040276
152,36.3845,-9.28458,8.40161,-6.79465,0.0811215,-0.0629702,0.0955709
153,19.1264,-0.689174,5.7923,6.91226,0.0917844,-0.0397286,-0.0626833
154,12.6614,-1.33593,-6.56566,-2.64971,0.0450697,-0.054376,-0.0699891
155,56.135,6.78136,-1.56179,-2.46319,0.0960757,-0.0301402,-0.0612771
156,93.4421,5.58767,-4.65664,-4.51254,0.0771186,0.0960784,0.0130264
157,11.6807,-7.86913,-9.11469,1.39824,0.0860644,-0.0956237,-0.0995667
158,42.6023,0.381135,-0.25476,-0.0652911,0.0249966,0.0495139,0.0128355
159,80.5826,-5.7941,-9.04754,-0.613706,0.0399989,0.0333216,0.0784012
160,95.9568,2.13498,5.38585,-6.85351,-0.0927777,-0.0592686,-0.0110826
161,50.8797,9.66197,1.37712,4.37957,0.0762381,0.0934557,-0.0100934
162,25.2575,-6.57561,8.57336,2.20203,0.0384996,0.0664721,-0.00607322
163,33.2114,-6.71603,-0.130281,-7.68483,0.0742372,-0.018789,0.0707073
164,7.95856,9.72423,-5.24262,5.60631,0.05678,-0.0848082,0.0895211
165,76.8872,-5.64799,-0.797141,5.80659,-0.0804694,0.00739115,-0.000796588
166,17.1562,-1.8795,-4.4651,-5.65682,-0.0637188,-0.0180355,0.0882499
167,91.2328,-5.5302,-4.44594,9.27659,0.099906,0.0383859,-0.0864066
168,31.2201,0.508081,-8.87594,-9.69318,-0.0388747,0.0125689,-0.0238059
169,52.5437,4.31682,7.22719,-7.42415,-0.0837487,0.0753663,0.0561676
170,79.7059,-9.13803,2.22719,2.81755,0.0890473,0.0965243,-0.0802047
171,67.8246,-8.36869,-8.51958,-2.62824,0.0864301,0.0415898,0.0108035
172,64.8404,-3.86153,7.67497,-1.38589,-0.0738033,0.0820666,-0.0626718
173,65.874,2.84296,-0.335621,0.151621,0.000381012,-8.57134e-05,0.0774122
174,42.4075,-5.8635,-7.67566,1.38234,0.0205951,-0.0800342,-0.0708629
175,35.9334,-7.79736,-4.16967,5.83571,-0.0213941,0.00855253,-0.0755906
176,80.4501,-4.29045,4.90139,-6.00026,0.00977678,-0.0101922,-0.0914709
177,83.5595,6.38605,-4.73094,-3.19755,-0.0394277,-0.0117853,0.0163267
178,66.8914,-3.57639,-2.33684,-1.35959,0.0644033,0.0715873,-0.0216616
179,15.6198,-8.27468,1.35565,8.38801,0.0884956,-0.0613376,0.0878476
180,68.1095,-3.60828,7.51887,7.55033,0.04647,-0.095963,0.0413045
181,93.0091,5.65718,-3.7815,-9.3717,-0.0620985,0.0262551,-0.0642438
182,50.3832,-2.28004,-0.251394,7.46424,-0.046873,0.0280739,-0.0350343
183,43.8532,5.86672,-0.273387,-4.05624,-0.0386882,-0.0916454,-0.0902721
184,38.3411,-3.03982,4.73887,-1.84869,-0.069944,-0.0204329,-0.0979585
185,85.4329,-4.74063,-7.85609,-3.6707,-0.0513091,-0.016006,0.0600136
186,54.4792,-0.711394,-6.31965,-0.106227,0.0175629,-0.0240847,-0.0797683
187,31.939,-8.82882,-4.44739,7.84856,0.0639671,0.0760875,0.08311
188,57.7609,7.5418,-8.83313,7.12179,-0.0332331,0.0391722,-0.048057
189,70.7626,4.22643,-8.15589,-8.07898,-0.067742,0.0901233,0.0515759
190,28.1787,-0.916823,3.56231,-5.01114,-0.0392695,0.0433671,-0.0942152
191,98.0328,1.01156,-8.18902,-3.85829,0.0343214,0.0658634,-0.0793012
192,4.51816,6.72555,8.0235,9.70044,-0.0379501,-0.0843021,-0.00674315
193,67.171,-7.48035,0.367672,-4.9945,-0.0536817,0.0706213,0.0338502
194,80.1384,-8.11155,6.64319,9.13656,-0.0573106,-0.041792,-0.0145963
195,63.6728,5.18727,8.36333,5.72684,-0.0392407,-0.00219636,0.00710553
196,39.7563,6.26026,8.1168,-0.0408116,0.0616939,0.033445,-0.0137926
197,56.2408,5.49095,-7.44227,2.27229,0.0400913,0.0993853,0.06782
198,14.7665,7.05111,5.92836,-8.99845,-0.0220925,-0.0711727,-0.000174336
199,89.4358,7.42869,4.51595,-7.58072,-0.0347509,-0.0573569,-0.0416834
200,86.3492,-3.75628,5.54883,8.00801,-0.0232548,0.0578952,-0.0225199
201,44.1524,-9.02693,6.68755,9.48649,0.0877817,0.0332751,-0.0359859
202,56.5981,-7.89596,-3.05269,5.16584,0.0964126,-0.0662806,-0.0845765
203,55.73,-0.776026,-5.40716,1.43932,-0.0452434,0.0757172,0.0726997
204,39.162,-1.88856,2.02091,-3.40026,0.0669209,0.0561635,0.0460982
205,9.4783,3.58761,4.66175,-8.15914,0.0861368,-0.00677588,-0.0790132
206,3.79712,-9.24366,4.38439,-5.70699,0.0619318,-0.0735904,-0.0110433
207,86.4698,-4.86207,-5.76235,9.65213,-0.0341757,0.0865174,0.0872735
208,37.7621,9.18798,8.57954,1.63947,-0.0323708,0.0166516,0.085596
209,73.9154,-7.49452,-9.01344,8.83685,-0.0322988,0.0261476,0.0736557
210,14.44,1.46242,-8.67329,-2.72276,-0.0429143,-0.0331608,0.0062879
211,25.0234,1.61475,8.80391,0.997596,-0.0641647,0.0969655,0.00691671
212,90.0915,1.96956,-8.04597,-6.77611,-0.00218719,0.0626329,0.0727755
213,2.30048,-4.64308,-2.06843,2.0249,0.0831102,0.0557095,-0.0952189
214,95.3133,9.56846,2.86148,6.82172,0.036049,0.0657583,-0.0780049
215,32.0394,5.41557,1.58869,2.59738,0.0706111,0.00484612,-0.0860389
216,4.02671,-8.32699,-3.72093,-4.02525,-0.0715671,-0.00252328,0.0205367
217,31.0665,-5.9613,-7.25477,2.01812,0.0808266,0.0561651,-0.0906371
218,65.7663,5.59944,-4.75139,-9.48536,0.0977114,-0.0447017,-0.0703055
219,92.2136,2.23413,-1.83858,9.44735,0.0210688,-0.0153366,0.0297519
220,50.3518,-8.63338,0.297085,2.84319,0.0587497,-0.0620436,0.00512851
221,79.2058,-5.54351,-6.7251,8.19227,0.0720695,0.0297182,0.0947015
222,9.05231,-3.4432,-7.75098,4.45729,0.0547058,-0.0671503,-0.0327016
223,40.3083,-5.06304,8.9527,-9.16876,-0.0962549,0.0293325,-0.087203
224,17.2788,4.5467,-2.46994,1.12461,0.00689768,0.0400672,-0.0773859
225,6.29107,7.05846,2.68683,-5.33711,0.085545,-0.0430711,-0.0404346
226,9.21474,-4.29244,3.90238,-7.99843,0.00555603,-0.00182465,-0.0393526
227,97.5699,-7.5015,0.758582,-4.04702,0.0688864,-0.074875,0.0897295
228,97.2931,9.80214,-7.14378,0.338327,-0.088598,-0.0638003,0.0908116
229,72.2178,9.78564,-3.45514,1.46836,-0.0552634,-0.0357736,0.0350335
230,85.6335,3.06197,3.13084,-1.03403,-0.0852251,0.00213858,0.045765
231,75.2742,-0.852206,6.33701,3.55034,0.09218,0.0280842,0.072512
232,79.4488,-3.75046,-3.57238,3.84944,0.0754407,-0.0452638,0.00699447
233,8.61992,-4.58705,-3.46623,-9.92468,-0.000179247,0.00139007,-0.0313909
234,2.40756,4.16924,1.41572,-5.68483,0.0380766,-0.02057,-0.0310771
235,68.7166,1.64478,-8.37496,-9.06777,0.062905,-0.0802086,0.0883108
236,54.8638,6.87347,-6.22637,-5.29506,0.0449411,-0.0969441,-0.0931998
237,45.055,7.06264,-4.60228,-5.24184,0.0636025,-0.064417,0.0783593
238,7.27082,9.95396,-0.0854502,4.94665,0.0942203,-0.0724297,0.0318782
239,15.844,8.50899,-0.557489,-5.84121,-0.00481415,0.0527162,0.0152737
240,70.3479,4.71574,-5.3457,-4.53468,-0.0776584,0.0542713,0.0583549
241,53.266,3.20331,-4.39635,-6.91717,-0.0760081,-0.0247555,0.0230127
242,45.1867,1.77262,-0.0989834,-5.22019,-0.099292,-0.0102723,-0.0785818
243,47.9065,-1.25303,-0.710636,5.93286,0.0415679,-0.0326524,0.072113
244,76.3057,7.83662,-5.96421,-3.37512,-0.0717789,-0.0439182,-0.0103316
245,19.8131,0.953067,4.74771,9.49697,0.0265192,-0.0765403,-0.000365679
246,78.9192,2.43683,7.14687,4.80921,-0.0519818,-0.0817817,0.0944425
247,11.8664,2.08889,-3.47027,8.53307,0.0615205,-0.0626186,-0.0987162
248,72.4908,-3.15189,-1.22829,-1.90436,-0.0316664,0.0393722,0.0817149
249,46.3715,-1.14172,-1.95779,-9.55795,-0.0743236,0.0116563,0.060755
250,93.6547,5.66511,-3.14014,2.10358,-0.016288,0.0330911,0.0896535
251,12.1474,8.70031,3.50906,-7.82129,-0.057004,0.0859226,-0.0141961
252,94.1062,9.45153,4.81651,9.27465,0.0641824,0.0575316,-0.0140057
253,69.51,-5.25254,2.76476,0.623603,0.0893758,0.0477306,-0.0872324
254,15.5254,1.91779,7.14692,-8.05899,-0.0939386,0.0178013,-0.00828548
255,57.5283,-0.164371,6.5082,-3.33088,-0.0260161,0.0153782,-0.0786959
256,36.8423,4.50124,1.80744,9.425,-0.0110661,-0.0380488,-0.0886158
257,60.248,3.40816,7.74355,0.688459,-0.0707966,-0.0397601,0.0729484
258,35.2386,2.53636,-7.86919,-5.19418,-0.0428503,0.091172,-0.0455243
259,25.0036,5.04426,-7.03474,-4.95187,-0.027952,-0.0524461,-0.0178414
260,49.7671,-2.07994,8.82807,1.56287,-0.0112772,0.0632155,-0.064708
261,90.2721,4.65105,-2.37893,-5.67928,-0.0863796,0.0220796,-0.0526273
262,89.9605,0.0822197,-7.55407,6.718,0.0501589,-0.0117382,0.0626177
263,94.1463,0.450592,-7.21249,0.584749,0.0948914,0.0778808,-0.024322
264,13.2088,9.35487,-7.50205,-0.119067,-0.0800865,-0.0494277,-0.0122082
265,16.189,3.12919,-3.70498,7.3385,0.0789259,0.0939069,-0.0439522
266,35.4131,6.65084,3.76525,0.138615,0.0157098,-0.0614489,0.0724266
267,95.7261,6.76591,-3.75974,-4.18764,0.0808075,0.0705381,-0.0304534
268,29.8113,7.57635,-4.45467,8.25392,-0.0137559,-0.0521623,-0.0839111
269,4.05035,-0.710849,-9.28546,1.52921,0.0930016,-0.0357068,0.0926716
270,19.4512,-1.68948,9.86224,-9.36544,0.0385362,-0.088353,0.0733577
271,77.8143,2.36296,-9.60626,1.90484,0.0762588,-0.00983705,0.0346463
272,89.1114,-3.88853,-0.570664,-9.47317,0.0121664,0.0722906,0.0845784
273,51.12,3.56697,5.77639,9.35545,0.0645615,0.0736484,0.0285811
274,94.9198,2.60873,-0.417194,2.19449,-0.0281161,0.025097,0.0336542
275,19.398,-8.41999,2.7703,2.0022,0.0314309,-0.0508061,-0.0591456
276,8.99187,9.36951,-8.82702,1.12184,-0.0679381,-0.0853335,-0.0152402
277,65.622,4.97657,-4.30048,-3.15224,-0.0936356,-0.0434126,-0.0730694
278,16.982,9.72809,2.36337,5.53375,-0.0258372,0.0798156,0.0731218
279,17.2702,-0.677306,-3.22106,-0.15641,-0.0165287,0.0255955,-0.00361971
280,20.1715,5.46344,0.0866991,-3.97921,0.0540014,0.0849005,-0.00781155
281,73.7262,1.08922,-6.15023,-8.41861,0.028831,0.00162588,0.0839691
282,66.8737,9.63948,-1.4601,-9.86519,0.0360238,-0.00162693,-0.0236682
283,37.7935,-0.858223,3.47508,5.75408,-0.099437,0.0238494,-0.0879849
284,6.58766,0.173508,-6.49635,6.91964,-0.0451091,0.023212,-0.0280168
285,93.1107,7.74374,-1.13818,8.86536,-0.0471278,0.0447852,-0.0205205
286,44.8459,0.770339,-8.83174,8.73307,-0.0922704,0.0402593,-0.0374218
287,89.1883,2.4953,-9.47353,5.27059,0.0562914,-0.012999,0.0844943
288,46.7003,-8.37721,-4.7971,1.89096,-0.0440085,-0.0546138,-0.031409
289,99.1654,3.89419,5.65963,-6.12398,-0.0310032,-0.00251867,0.0148018
290,69.1532,-9.31105,3.97271,-8.72543,-0.0484472,-0.0910657,-0.0833704
291,67.5602,-7.89442,1.67792,8.07999,-0.0944096,-0.0319533,0.0496158
292,93.0461,-0.00509039,4.10896,-8.3963,-0.0426198,0.0109068,-0.0352313
293,91.2008,-5.94177,0.783449,8.09185,0.0618111,-0.0975319,0.0864534
294,31.6379,6.56091,4.90393,8.02954,-0.0319026,0.0282667,0.0209914
295,59.6021,3.40605,-6.6803,-0.175934,0.099796,0.0695918,0.0373254
296,18.1548,2.97078,-9.58874,4.2138,-0.0947583,-0.0904189,0.00342117
297,89.8714,1.58821,-3.02229,-9.93868,0.0744894,0.0110711,-0.0603756
298,23.8351,9.21235,-9.26188,-4.46738,0.009268,-0.0649798,0.0809543
299,4.50757,4.52848,-5.19846,-0.639731,-0.014888,-0.0660123,0.073302
300,43.1351,-3.20033,-1.34361,-8.2644,-0.0695896,0.00811988,-0.0126689
301,2.35816,-1.16264,-0.0958815,-6.79093,0.0783311,0.049525,0.0014105
302,12.7574,-5.07651,-0.669728,2.16752,-0.0033982,-0.0712822,0.0737848
303,29.0376,-5.11702,5.71754,-3.57064,0.0295579,-0.0521784,-0.0951076
304,68.5563,6.49249,3.0241,-2.88402,0.0732322,0.00979243,0.00936126
305,15.3403,9.28257,-7.29852,-8.1011,-0.0657474,-0.0173438,-0.0678724
306,99.9629,2.06801,-5.3426,3.38255,-0.0916021,0.0181759,0.0634206
307,86.6322,-1.232,6.11812,-9.31847,0.0434651,-0.0026569,-0.0830957
308,90.3957,-1.41462,0.310435,6.53822,0.0821093,-0.016113,0.0687382
309,93.377,3.15197,-5.24642,-8.16228,0.0280602,-0.0301267,-0.0202753
310,19.0874,7.73422,-9.3832,-4.33925,-0.0451411,0.0612663,0.0242087
311,4.09361,4.84614,2.57526,-2.65281,-0.0352415,-0.0699025,0.0935126
312,70.654,-9.89355,-2.18677,8.79955,-0.019332,-0.030877,-0.000152452
313,14.435,3.09818,-7.13384,-5.39008,-0.0524057,-0.0805692,-0.0582897
314,50.8893,4.12724,3.45492,8.22517,-0.040085,-0.0730558,0.0564973
315,63.1921,-3.01752,-1.66889,-9.11401,-0.0416333,0.0379505,-0.0619036
316,25.2694,5.03542,-4.31474,0.857993,-0.0730714,0.0314866,-0.0218007
317,91.2225,-0.872337,-8.79912,-5.13733,0.00844915,0.0801329,0.0641595
318,61.1453,2.47569,2.32207,-7.17429,-0.0389668,0.0156496,-0.0251343
319,38.406,-8.96804,-4.49566,5.85168,-0.0828971,-0.0209551,0.0521874
320,82.0312,0.162839,4.12718,9.4708,0.0966191,-0.0741572,0.0750342
321,92.4297,8.3254,3.96429,-0.768562,-0.0277011,0.0273291,0.0949961
322,23.6499,-7.12047,-6.2925,7.29618,-0.0964348,0.0387837,0.0130055
323,75.8137,8.60206,1.28411,4.71287,0.0534557,-0.0983253,-0.0288785
324,72.0167,-0.458724,9.29935,8.27795,0.0461615,0.0157307,-0.0977715
325,75.0652,3.88983,6.51414,-3.65096,-0.0896878,-0.0578702,-0.0296599
